id,retweet_count,favorite_count,author_followers_count,author_listed_count,author_statuses_count,author_friends_count,author_favourites_count,hashtag_indices,text
0,73,0,16,0,1179,62,3730,[],"RT @StephenKing: I think they should give away a Tesla on THE PRICE IS RIGHT. Come on, Elon, you gotta get on that!"
1,44,0,7,0,7423,17,3974,[],"RT @timexfabrics: Plain T-shirt : N1,600. Short : N5,000. Joggers : N7,500. Baseball Cap : N1,000. Bucket Hat : N2,500. Durag : N1,500. Beanie :…"
2,28,0,6919,10,23353,1727,12355,[],RT @Imodu_Joel: Samsung S21 Ultra 5g. 128gb FU. Snapdragon . Brand new sealed. . 490k. . 08127821234. . Rema | Juventus | Abuja | Tesla | Abba Kyari…
3,7,0,325,8,21875,1317,2592,[],"RT @jpr007: TESLA PRODUCT COST COMPARISON. . Model 3 from Fremont is estimated to have $37,500 Production Cost with 25% Gross Margin. . MIC Mod…"
4,0,1,1336,2,15511,2112,33776,[],Allah kıymet bilene nasip etsin... https://t.co/tfebn44zIR
5,71,0,351,16,14144,876,22047,[],RT @kumandgo: you can't spell @elonmusk without kum
6,73,0,89,0,60440,452,869,[],"RT @StephenKing: I think they should give away a Tesla on THE PRICE IS RIGHT. Come on, Elon, you gotta get on that!"
7,121,0,1,0,11,1,10,"[[81, 88]]",RT @CosmicRayTV1: May the Lord answer her prayer. 🙏🏽. . Shoprite Atiku Tesla Baddo #Wizkid https://t.co/InOXpuPDQi
8,0,0,58,0,1974,233,2814,[],"@fanaticHH @cryptomoonhike @GordonJohnson19 I'm not sure what planet you're living on, if you REALLY think Tesla is… https://t.co/eINyist2zg"
